dham,date,month,day_of_week,day_of_season,is_weekend,is_festival,weather_code,pass_quota_pct,crowd_level
badrinath,2010-06-02,6,2,33,0,0,1,0.8032,High
yamunotri,2010-06-03,6,3,34,0,0,0,0.6951,High
gangotri,2010-06-03,6,3,34,0,0,0,0.6235,Medium
kedarnath,2010-06-03,6,3,34,0,0,0,0.6333,Medium
badrinath,2010-06-03,6,3,34,0,0,0,0.5346,Medium
yamunotri,2010-06-04,6,4,35,0,1,0,0.8038,High
gangotri,2010-06-04,6,4,35,0,1,1,0.7708,High
kedarnath,2010-06-04,6,4,35,0,1,1,0.9032,Extreme
badrinath,2010-06-04,6,4,35,0,1,1,1.0,Extreme
yamunotri,2010-06-05,6,5,36,1,0,2,0.7495,High
gangotri,2010-06-05,6,5,36,1,0,2,0.7723,High
kedarnath,2010-06-05,6,5,36,1,0,2,0.8341,High
badrinath,2010-06-05,6,5,36,1,0,2,0.69,High
yamunotri,2010-06-06,6,6,37,1,0,1,0.7739,High
gangotri,2010-06-06,6,6,37,1,0,1,1.0,Extreme
kedarnath,2010-06-06,6,6,37,1,0,1,0.8988,Extreme
badrinath,2010-06-06,6,6,37,1,0,1,0.8257,High
yamunotri,2010-06-07,6,0,38,0,0,1,0.6611,High
gangotri,2010-06-07,6,0,38,0,0,1,0.7455,High
kedarnath,2010-06-07,6,0,38,0,0,1,0.8107,High
badrinath,2010-06-07,6,0,38,0,0,1,0.7336,High
yamunotri,2010-06-08,6,1,39,0,0,0,0.5997,Medium
gangotri,2010-06-08,6,1,39,0,0,0,0.3996,Low
kedarnath,2010-06-08,6,1,39,0,0,0,0.6364,Medium
badrinath,2010-06-08,6,1,39,0,0,0,0.5722,Medium
yamunotri,2010-06-09,6,2,40,0,0,1,0.8509,Extreme
gangotri,2010-06-09,6,2,40,0,0,1,0.7661,High
kedarnath,2010-06-09,6,2,40,0,0,1,0.7657,High
badrinath,2010-06-09,6,2,40,0,0,1,0.8601,Extreme
yamunotri,2010-06-10,6,3,41,0,0,2,0.8747,Extreme
gangotri,2010-06-10,6,3,41,0,0,2,0.7471,High
kedarnath,2010-06-10,6,3,41,0,0,2,0.7485,High
badrinath,2010-06-10,6,3,41,0,0,2,0.726,High
yamunotri,2010-06-11,6,4,42,0,0,1,0.7553,High
gangotri,2010-06-11,6,4,42,0,0,1,0.6892,High
kedarnath,2010-06-11,6,4,42,0,0,1,0.8854,Extreme
badrinath,2010-06-11,6,4,42,0,0,1,0.6719,High
yamunotri,2010-06-12,6,5,43,1,0,1,1.0,Extreme
gangotri,2010-06-12,6,5,43,1,0,1,0.9393,Extreme
kedarnath,2010-06-12,6,5,43,1,0,1,0.9635,Extreme
badrinath,2010-06-12,6,5,43,1,0,1,1.0,Extreme
yamunotri,2010-06-13,6,6,44,1,0,1,0.9643,Extreme
gangotri,2010-06-13,6,6,44,1,0,1,0.8491,High
kedarnath,2010-06-13,6,6,44,1,0,1,0.9178,Extreme
badrinath,2010-06-13,6,6,44,1,0,1,1.0,Extreme
yamunotri,2010-06-14,6,0,45,0,0,1,0.7984,High
gangotri,2010-06-14,6,0,45,0,0,1,0.7693,High
kedarnath,2010-06-14,6,0,45,0,0,1,0.6567,High
badrinath,2010-06-14,6,0,45,0,0,1,0.867,Extreme
yamunotri,2010-06-15,6,1,46,0,0,1,0.917,Extreme
gangotri,2010-06-15,6,1,46,0,0,1,0.9153,Extreme
kedarnath,2010-06-15,6,1,46,0,0,1,0.9396,Extreme
badrinath,2010-06-15,6,1,46,0,0,1,0.703,High
yamunotri,2010-06-16,6,2,47,0,0,1,0.9701,Extreme
gangotri,2010-06-16,6,2,47,0,0,1,0.6868,High
kedarnath,2010-06-16,6,2,47,0,0,1,0.7556,High
badrinath,2010-06-16,6,2,47,0,0,2,0.6569,High
yamunotri,2010-06-17,6,3,48,0,0,1,0.7927,High
gangotri,2010-06-17,6,3,48,0,0,1,0.871,Extreme
kedarnath,2010-06-17,6,3,48,0,0,1,0.8933,Extreme
badrinath,2010-06-17,6,3,48,0,0,1,0.8629,Extreme
yamunotri,2010-06-18,6,4,49,0,0,1,0.6638,High
gangotri,2010-06-18,6,4,49,0,0,1,0.8278,High
kedarnath,2010-06-18,6,4,49,0,0,1,0.9178,Extreme
badrinath,2010-06-18,6,4,49,0,0,1,0.78,High
yamunotri,2010-06-19,6,5,50,1,0,1,0.9915,Extreme
gangotri,2010-06-19,6,5,50,1,0,1,0.8444,High
kedarnath,2010-06-19,6,5,50,1,0,1,0.777,High
badrinath,2010-06-19,6,5,50,1,0,1,0.9505,Extreme
yamunotri,2010-06-20,6,6,51,1,0,1,0.9193,Extreme
gangotri,2010-06-20,6,6,51,1,0,1,1.0,Extreme
kedarnath,2010-06-20,6,6,51,1,0,1,0.9809,Extreme
badrinath,2010-06-20,6,6,51,1,0,1,0.9839,Extreme
yamunotri,2010-06-21,6,0,52,0,0,1,0.739,High
gangotri,2010-06-21,6,0,52,0,0,1,0.9615,Extreme
kedarnath,2010-06-21,6,0,52,0,0,1,0.9984,Extreme
badrinath,2010-06-21,6,0,52,0,0,1,0.8059,High
yamunotri,2010-06-22,6,1,53,0,0,1,0.9577,Extreme
gangotri,2010-06-22,6,1,53,0,0,1,0.9778,Extreme
kedarnath,2010-06-22,6,1,53,0,0,1,0.962,Extreme
badrinath,2010-06-22,6,1,53,0,0,1,0.7025,High
yamunotri,2010-06-23,6,2,54,0,0,1,0.8846,Extreme
gangotri,2010-06-23,6,2,54,0,0,1,0.8706,Extreme
kedarnath,2010-06-23,6,2,54,0,0,1,0.7811,High
badrinath,2010-06-23,6,2,54,0,0,1,0.9518,Extreme
yamunotri,2010-06-24,6,3,55,0,0,1,0.9303,Extreme
gangotri,2010-06-24,6,3,55,0,0,1,0.6777,High
kedarnath,2010-06-24,6,3,55,0,0,0,0.4874,Medium
badrinath,2010-06-24,6,3,55,0,0,1,0.8178,High
yamunotri,2010-06-25,6,4,56,0,0,1,0.9541,Extreme
gangotri,2010-06-25,6,4,56,0,0,1,0.6562,High
kedarnath,2010-06-25,6,4,56,0,0,1,0.9988,Extreme
badrinath,2010-06-25,6,4,56,0,0,1,0.9275,Extreme
yamunotri,2010-06-26,6,5,57,1,0,1,0.8261,High
gangotri,2010-06-26,6,5,57,1,0,1,0.731,High
kedarnath,2010-06-26,6,5,57,1,0,1,0.9513,Extreme
badrinath,2010-06-26,6,5,57,1,0,1,0.823,High
yamunotri,2010-06-27,6,6,58,1,0,1,1.0,Extreme
gangotri,2010-06-27,6,6,58,1,0,1,1.0,Extreme
kedarnath,2010-06-27,6,6,58,1,0,1,0.7964,High
badrinath,2010-06-27,6,6,58,1,0,1,0.786,High
yamunotri,2010-06-28,6,0,59,0,0,1,0.7076,High
gangotri,2010-06-28,6,0,59,0,0,1,0.8712,Extreme
kedarnath,2010-06-28,6,0,59,0,0,1,0.7341,High
badrinath,2010-06-28,6,0,59,0,0,2,0.6427,Medium
yamunotri,2010-06-29,6,1,60,0,0,1,0.7063,High
gangotri,2010-06-29,6,1,60,0,0,1,0.6972,High
kedarnath,2010-06-29,6,1,60,0,0,1,0.652,High
badrinath,2010-06-29,6,1,60,0,0,1,0.8837,Extreme
yamunotri,2010-06-30,6,2,61,0,0,0,0.4099,Medium
gangotri,2010-06-30,6,2,61,0,0,0,0.4373,Medium
kedarnath,2010-06-30,6,2,61,0,0,0,0.4465,Medium
badrinath,2010-06-30,6,2,61,0,0,0,0.56,Medium
yamunotri,2010-07-01,7,3,62,0,0,0,0.0708,Low
gangotri,2010-07-01,7,3,62,0,0,2,0.2068,Low
kedarnath,2010-07-01,7,3,62,0,0,0,0.1846,Low
badrinath,2010-07-01,7,3,62,0,0,0,0.1915,Low
yamunotri,2010-07-02,7,4,63,0,0,1,0.3182,Low
gangotri,2010-07-02,7,4,63,0,0,2,0.2978,Low
kedarnath,2010-07-02,7,4,63,0,0,1,0.3357,Low
badrinath,2010-07-02,7,4,63,0,0,1,0.4994,Medium
yamunotri,2010-07-03,7,5,64,1,0,2,0.5708,Medium
gangotri,2010-07-03,7,5,64,1,0,2,0.3013,Low
kedarnath,2010-07-03,7,5,64,1,0,2,0.4576,Medium
badrinath,2010-07-03,7,5,64,1,0,2,0.2963,Low
yamunotri,2010-07-04,7,6,65,1,0,0,0.2814,Low
gangotri,2010-07-04,7,6,65,1,0,2,0.4853,Medium
kedarnath,2010-07-04,7,6,65,1,0,2,0.2941,Low
badrinath,2010-07-04,7,6,65,1,0,2,0.5578,Medium
yamunotri,2010-07-05,7,0,66,0,0,2,0.205,Low
gangotri,2010-07-05,7,0,66,0,0,2,0.3519,Low
kedarnath,2010-07-05,7,0,66,0,0,2,0.4563,Medium
badrinath,2010-07-05,7,0,66,0,0,2,0.4305,Medium
yamunotri,2010-07-06,7,1,67,0,0,0,0.1647,Low
gangotri,2010-07-06,7,1,67,0,0,0,0.0707,Low
kedarnath,2010-07-06,7,1,67,0,0,0,0.01,Low
badrinath,2010-07-06,7,1,67,0,0,0,0.1702,Low
yamunotri,2010-07-07,7,2,68,0,0,0,0.2143,Low
gangotri,2010-07-07,7,2,68,0,0,0,0.2013,Low
kedarnath,2010-07-07,7,2,68,0,0,0,0.0335,Low
badrinath,2010-07-07,7,2,68,0,0,0,0.1833,Low
yamunotri,2010-07-08,7,3,69,0,0,2,0.2865,Low
gangotri,2010-07-08,7,3,69,0,0,2,0.4309,Medium
kedarnath,2010-07-08,7,3,69,0,0,2,0.2544,Low
badrinath,2010-07-08,7,3,69,0,0,2,0.3063,Low
yamunotri,2010-07-09,7,4,70,0,0,2,0.2168,Low
gangotri,2010-07-09,7,4,70,0,0,2,0.3046,Low
kedarnath,2010-07-09,7,4,70,0,0,2,0.4241,Medium
badrinath,2010-07-09,7,4,70,0,0,0,0.1359,Low
yamunotri,2010-07-10,7,5,71,1,0,0,0.2036,Low
gangotri,2010-07-10,7,5,71,1,0,0,0.3076,Low
kedarnath,2010-07-10,7,5,71,1,0,0,0.3158,Low
badrinath,2010-07-10,7,5,71,1,0,0,0.2416,Low
yamunotri,2010-07-11,7,6,72,1,0,0,0.251,Low
gangotri,2010-07-11,7,6,72,1,0,0,0.3124,Low
kedarnath,2010-07-11,7,6,72,1,0,0,0.3093,Low
badrinath,2010-07-11,7,6,72,1,0,0,0.0532,Low
yamunotri,2010-07-12,7,0,73,0,0,0,0.0831,Low
gangotri,2010-07-12,7,0,73,0,0,0,0.01,Low
kedarnath,2010-07-12,7,0,73,0,0,0,0.1211,Low
badrinath,2010-07-12,7,0,73,0,0,0,0.2079,Low
yamunotri,2010-07-13,7,1,74,0,1,0,0.1607,Low
gangotri,2010-07-13,7,1,74,0,1,0,0.1894,Low
kedarnath,2010-07-13,7,1,74,0,1,0,0.3256,Low
badrinath,2010-07-13,7,1,74,0,1,0,0.1301,Low
yamunotri,2010-07-14,7,2,75,0,0,0,0.118,Low
gangotri,2010-07-14,7,2,75,0,0,0,0.1992,Low
kedarnath,2010-07-14,7,2,75,0,0,0,0.1336,Low
badrinath,2010-07-14,7,2,75,0,0,0,0.247,Low
yamunotri,2010-07-15,7,3,76,0,0,0,0.0807,Low
gangotri,2010-07-15,7,3,76,0,0,0,0.0741,Low
kedarnath,2010-07-15,7,3,76,0,0,2,0.2177,Low
badrinath,2010-07-15,7,3,76,0,0,0,0.0623,Low
yamunotri,2010-07-16,7,4,77,0,0,1,0.4674,Medium
gangotri,2010-07-16,7,4,77,0,0,1,0.5138,Medium
kedarnath,2010-07-16,7,4,77,0,0,1,0.5459,Medium
badrinath,2010-07-16,7,4,77,0,0,1,0.3025,Low
yamunotri,2010-07-17,7,5,78,1,0,0,0.0831,Low
gangotri,2010-07-17,7,5,78,1,0,0,0.1973,Low
kedarnath,2010-07-17,7,5,78,1,0,0,0.0307,Low
badrinath,2010-07-17,7,5,78,1,0,2,0.48,Medium
yamunotri,2010-07-18,7,6,79,1,0,2,0.3003,Low
gangotri,2010-07-18,7,6,79,1,0,2,0.4449,Medium
kedarnath,2010-07-18,7,6,79,1,0,0,0.258,Low
badrinath,2010-07-18,7,6,79,1,0,2,0.5018,Medium
yamunotri,2010-07-19,7,0,80,0,0,0,0.2177,Low
gangotri,2010-07-19,7,0,80,0,0,0,0.1481,Low
kedarnath,2010-07-19,7,0,80,0,0,0,0.1935,Low
badrinath,2010-07-19,7,0,80,0,0,0,0.1809,Low
yamunotri,2010-07-20,7,1,81,0,0,0,0.1032,Low
gangotri,2010-07-20,7,1,81,0,0,2,0.2741,Low
kedarnath,2010-07-20,7,1,81,0,0,2,0.3994,Low
badrinath,2010-07-20,7,1,81,0,0,2,0.4333,Medium
yamunotri,2010-07-21,7,2,82,0,1,2,0.5845,Medium
gangotri,2010-07-21,7,2,82,0,1,0,0.3055,Low
kedarnath,2010-07-21,7,2,82,0,1,2,0.5924,Medium
badrinath,2010-07-21,7,2,82,0,1,2,0.5547,Medium
yamunotri,2010-07-22,7,3,83,0,0,0,0.2261,Low
gangotri,2010-07-22,7,3,83,0,0,0,0.1272,Low
kedarnath,2010-07-22,7,3,83,0,0,0,0.0394,Low
badrinath,2010-07-22,7,3,83,0,0,0,0.01,Low
yamunotri,2010-07-23,7,4,84,0,0,0,0.2011,Low
gangotri,2010-07-23,7,4,84,0,0,0,0.136,Low
kedarnath,2010-07-23,7,4,84,0,0,0,0.1152,Low
badrinath,2010-07-23,7,4,84,0,0,0,0.1575,Low
yamunotri,2010-07-24,7,5,85,1,0,0,0.2505,Low
gangotri,2010-07-24,7,5,85,1,0,0,0.2532,Low
kedarnath,2010-07-24,7,5,85,1,0,0,0.288,Low
badrinath,2010-07-24,7,5,85,1,0,0,0.1996,Low
yamunotri,2010-07-25,7,6,86,1,0,2,0.4557,Medium
gangotri,2010-07-25,7,6,86,1,0,2,0.4889,Medium
kedarnath,2010-07-25,7,6,86,1,0,2,0.4992,Medium
badrinath,2010-07-25,7,6,86,1,0,2,0.5349,Medium
yamunotri,2010-07-26,7,0,87,0,0,0,0.0376,Low
gangotri,2010-07-26,7,0,87,0,0,0,0.06,Low
kedarnath,2010-07-26,7,0,87,0,0,0,0.1581,Low
badrinath,2010-07-26,7,0,87,0,0,2,0.2599,Low
yamunotri,2010-07-27,7,1,88,0,0,1,0.3861,Low
gangotri,2010-07-27,7,1,88,0,0,1,0.437,Medium
kedarnath,2010-07-27,7,1,88,0,0,1,0.4092,Medium
badrinath,2010-07-27,7,1,88,0,0,1,0.4436,Medium
yamunotri,2010-07-28,7,2,89,0,0,0,0.1148,Low
gangotri,2010-07-28,7,2,89,0,0,0,0.1435,Low
kedarnath,2010-07-28,7,2,89,0,0,0,0.1927,Low
badrinath,2010-07-28,7,2,89,0,0,0,0.112,Low
yamunotri,2010-07-29,7,3,90,0,0,0,0.1412,Low
gangotri,2010-07-29,7,3,90,0,0,0,0.2043,Low
kedarnath,2010-07-29,7,3,90,0,0,0,0.2226,Low
badrinath,2010-07-29,7,3,90,0,0,0,0.1427,Low
yamunotri,2010-07-30,7,4,91,0,0,2,0.3986,Low
gangotri,2010-07-30,7,4,91,0,0,2,0.4556,Medium
kedarnath,2010-07-30,7,4,91,0,0,2,0.3461,Low
badrinath,2010-07-30,7,4,91,0,0,2,0.318,Low
yamunotri,2010-07-31,7,5,92,1,0,2,0.3206,Low
gangotri,2010-07-31,7,5,92,1,0,2,0.4496,Medium
kedarnath,2010-07-31,7,5,92,1,0,2,0.446,Medium
badrinath,2010-07-31,7,5,92,1,0,2,0.3803,Low
yamunotri,2010-08-01,8,6,93,1,0,1,0.5212,Medium
gangotri,2010-08-01,8,6,93,1,0,1,0.5623,Medium
kedarnath,2010-08-01,8,6,93,1,0,1,0.5418,Medium
badrinath,2010-08-01,8,6,93,1,0,1,0.6011,Medium
yamunotri,2010-08-02,8,0,94,0,0,0,0.01,Low
gangotri,2010-08-02,8,0,94,0,0,0,0.01,Low
kedarnath,2010-08-02,8,0,94,0,0,0,0.1596,Low
badrinath,2010-08-02,8,0,94,0,0,0,0.01,Low
yamunotri,2010-08-03,8,1,95,0,0,0,0.01,Low
gangotri,2010-08-03,8,1,95,0,0,0,0.0285,Low
kedarnath,2010-08-03,8,1,95,0,0,0,0.233,Low
badrinath,2010-08-03,8,1,95,0,0,0,0.156,Low
yamunotri,2010-08-04,8,2,96,0,0,2,0.4038,Medium
gangotri,2010-08-04,8,2,96,0,0,2,0.4579,Medium
kedarnath,2010-08-04,8,2,96,0,0,2,0.341,Low
badrinath,2010-08-04,8,2,96,0,0,2,0.3385,Low
yamunotri,2010-08-05,8,3,97,0,0,1,0.5403,Medium
gangotri,2010-08-05,8,3,97,0,0,1,0.2908,Low
kedarnath,2010-08-05,8,3,97,0,0,1,0.2548,Low
badrinath,2010-08-05,8,3,97,0,0,1,0.269,Low
yamunotri,2010-08-06,8,4,98,0,0,2,0.3191,Low
gangotri,2010-08-06,8,4,98,0,0,2,0.3716,Low
kedarnath,2010-08-06,8,4,98,0,0,2,0.4936,Medium
badrinath,2010-08-06,8,4,98,0,0,2,0.2197,Low
yamunotri,2010-08-07,8,5,99,1,0,0,0.1376,Low
gangotri,2010-08-07,8,5,99,1,0,0,0.0879,Low
kedarnath,2010-08-07,8,5,99,1,0,0,0.0481,Low
badrinath,2010-08-07,8,5,99,1,0,0,0.1434,Low
yamunotri,2010-08-08,8,6,100,1,0,0,0.1599,Low
gangotri,2010-08-08,8,6,100,1,0,0,0.1555,Low
kedarnath,2010-08-08,8,6,100,1,0,0,0.1263,Low
badrinath,2010-08-08,8,6,100,1,0,0,0.1112,Low
yamunotri,2010-08-09,8,0,101,0,0,0,0.01,Low
gangotri,2010-08-09,8,0,101,0,0,0,0.0319,Low
kedarnath,2010-08-09,8,0,101,0,0,0,0.0179,Low
badrinath,2010-08-09,8,0,101,0,0,0,0.01,Low
yamunotri,2010-08-10,8,1,102,0,0,2,0.309,Low
gangotri,2010-08-10,8,1,102,0,0,2,0.4612,Medium
kedarnath,2010-08-10,8,1,102,0,0,2,0.358,Low
badrinath,2010-08-10,8,1,102,0,0,2,0.4781,Medium
yamunotri,2010-08-11,8,2,103,0,0,2,0.3243,Low
gangotri,2010-08-11,8,2,103,0,0,2,0.4195,Medium
kedarnath,2010-08-11,8,2,103,0,0,2,0.3873,Low
badrinath,2010-08-11,8,2,103,0,0,2,0.4097,Medium
yamunotri,2010-08-12,8,3,104,0,0,2,0.3977,Low
gangotri,2010-08-12,8,3,104,0,0,0,0.1167,Low
kedarnath,2010-08-12,8,3,104,0,0,2,0.3029,Low
badrinath,2010-08-12,8,3,104,0,0,2,0.2369,Low
yamunotri,2010-08-13,8,4,105,0,0,2,0.3079,Low
gangotri,2010-08-13,8,4,105,0,0,2,0.4507,Medium
kedarnath,2010-08-13,8,4,105,0,0,2,0.3224,Low
badrinath,2010-08-13,8,4,105,0,0,2,0.2327,Low
yamunotri,2010-08-14,8,5,106,1,0,0,0.3246,Low
gangotri,2010-08-14,8,5,106,1,0,0,0.1169,Low
kedarnath,2010-08-14,8,5,106,1,0,0,0.0547,Low
badrinath,2010-08-14,8,5,106,1,0,0,0.3011,Low
